ID,Target,text_length,length_bin,fold
uGI8F9Er0c5XwdnX,By this publique Act and Instrument of protest,46,0,4
Dqt2gc3V5RJqmLE5,By this publique Act and Instrument of protest,46,0,4
eqF93vAKYa4aOeHr,By this public act and Instrument of protest be it known,56,1,2
SEYEZ7fwp3MbYkkB,By this public act and Instrument of protest be it known,56,1,2
sQjpjiUTThaMf4j6,By this public act and Instrument of protest be it,50,0,0
Zer3bZ5I7YFGoqS6,By this public Act and Instrument of protest be it,50,0,3
xD0EIkxQ5xUJIjuV,of February In the year of our Lord God one thousand six hundred sixty,70,3,0
vIO1Vk2ZKi0Yn0Sz,of February in the Year of our Lord God one thousand six hundred sixty,70,3,4
0mbbbshnl0XReeqC,of February in the year of our Lord God one thousand six hundred sixty,70,3,3
8kn3TLDy8Pzkhxre,date the Sixth day of July One thousand Six hundred,51,1,2
ATePrG4XYYSk9SqP,date the Sixth day of July One thousand Six hundred,51,1,3
nRvxGECsX83w3iAn,Signed Sealed and delivered in the prsence of us,48,0,0
ik2J2jh39lYRPIih,Signed Sealed and delivered in the presence of us,49,0,1
WDbUz3HEvBWEdEfO,Signed Sealed and delivered in the presence of us,49,0,3
y4cX8NR9p3eQRAcH,Signed sealed and delivered in the prsence of us,48,0,2
Z2mR1OD41ELWIjS3,This done and protested the day and year aforesaid,50,0,2
tcWjg7hB7HjofnFN,This done and protested the day and year aforesaid,50,0,3
8K3R5VHfGgPa9cZR,This done and protested the day and Year aforesaid,50,0,2
243Efrgr29lBU5si,omitt Suffered or done ^by the said John Bawdon,47,0,1
m2hBfXjaPMNj7JAQ,omitt Suffered or Done ^by the Said John Bawdon,47,0,1
H6MlB7cGEGI4lZ6J,To all Christian People to whome this present writeing shall come,65,2,2
ewYlEIEmas0JBluR,To all Christian People to whome this present writeing shall come,65,2,4
BU7IrN4RM2C3UZC0,Sealed and delivered in the prsence of,38,0,0
UUMGGElAnTqRKlfO,Sealed and delivered in the presence of,39,0,3
huKYbaDS0hn3iQSa,Sealed and delivered in the prsence of,38,0,1
zF6Y0Q8CW0z7x0EU,Sealed and delivered in the prsence of,38,0,0
v2PiLBtv4u7leFxd,sealed and delivered in the presence of,39,0,1
5fg6hZ3GqQbzwqGI,Sealed and delivered in the presence of,39,0,0
rmAMD7qwDT9Hnue7,Sealed and delivered in the presence of,39,0,2
R3i1amI9QDkg6ihX,Sealed and delivered in the prsence of,38,0,3
0ZvGzksVcRwCqqvb,To all Christian People to whome these presents shall,53,1,2
gg5hfS9d6SHxZS3e,To all christian people to whome these presents shall,53,1,0
tlIG4kS1IsC4cvjc,To all Christian People to whome these presents shall,53,1,2
7G2Eyw9CxUwwivGA,To all Christian people to whome these presents Shall,53,1,0
RAalP94Vy9npUxzr,To all Christian people to whome these presents shall,53,1,1
ChtGx4491s5eJoNw,To all Christian people to whome this prsent writing,52,1,2
Jrm3V9E0DcaSAlZF,To all Christian people to whom this present writing,52,1,2
i5MI0a58XRPBHAx3,French ship call the St. Robert of Rochell in France (where name the said appearer,82,4,4
cSHBo8ZEYXywLZV6,French ship call the St. Robert of Rochill in France (where name the said Appearer,82,4,2
6Q9xqqBd0In0I4xS,for or by reason of the said Whiston not loading of the said twelve,67,3,2
